,region,population_region,proportion,total_quality
1,NORTHERN AMERICA,736.1360000000001,0.1412782420639664,104
2,OCEANIA,14218.206000000002,0.00443093875556452,63
3,EUROPE,110838.96000000002,0.0031667565267663998,351
4,ASIA,216215.49600000016,0.0014615048682727152,316
5,AFRICA,111527.55899999992,0.001067000847745624,119
6,LATIN AMERICA AND THE CARIBBEAN,97365.66399999999,0.0007805626426991758,76
